Term	English	French
statuseffect_amongus_SE_Still_lore	Stay!	Pas bouger !
statuseffect_amongus_SE_Still_name	Immobilized	Immobilisé
statuseffect_amongus_SE_Still_description	This creature cannot move anymore	Cette créature ne peut plus bouger
statuseffect_amongus_SE_Giant_lore	Go... Goliath?	Go...Goliath ?
statuseffect_amongus_SE_Giant_name	Giantism	Gigantisme
statuseffect_amongus_SE_Giant_description	This creature takes more space and can hit all its ennemies in one sweep!	Cette créature prend plus de place et a des chances de frapper tous les ennemis!
statuseffect_amongus_SE_FireFighter_name	Firefighting	Incendie combattu
statuseffect_amongus_SE_FireFighter_lore	In hot water	Chaud devant !
statuseffect_amongus_SE_FireFighter_description	Putting his life on the line, the villager is doing his best to extinguish the fire	Le villageois fait tout ce qu'il peut pour arrêter l'incendie au péril de sa vie.
statuseffect_amongus_SE_Fire_name	Fire	Incendie
statuseffect_amongus_SE_Fire_lore	This is fine	Néron serait fier !
statuseffect_amongus_SE_Fire_description	This building is on fire and will be destroyed if nothing is done	Ce batiment est en feu et sera détruit si rien n'est fait
statuseffect_amongus_SE_contaminate_name	Infected	Contaminé
statuseffect_amongus_SE_contaminate_lore	Eeeww!	Beurk !
statuseffect_amongus_SE_contaminate_description	This animal is infected and will periodically give birth to monsters, Maybe you should put it down?	Cet animal est contaminé et va donner vie à des ennemis de façon périodique, peut-être faudrait-il l'abbatre?
statuseffect_amongus_SE_Revealed_name	Monster	Monstre
statuseffect_amongus_SE_Revealed_lore	How Long Were You Alone With That Dog?	How Long Were You Alone With That Dog ?
statuseffect_amongus_SE_Revealed_description	This is not a villager, it's a monster.<b>Double-click to force it to reveal itself.!</b>	Ce villageois n'en est pas un et est un monstre.<b>Double cliquez pour le forcer à se révéler</b> !
statuseffect_amongus_SE_Normal_name	Villager	Villageois
statuseffect_amongus_SE_Normal_lore	Grrrrrr! What? That wasn't funny?	Grrrrrrr ! Quoi ? C'est pas drôle ?
statuseffect_amongus_SE_Normal_description	This is a normal villager	Ce villageois est bien un villageois.
statuseffect_amongus_SE_Boss_name	Boss	Boss
statuseffect_amongus_SE_Boss_lore	It looks tough.	Grrrrrrr ! Ca a l'air costaud, non ?
statuseffect_amongus_SE_Boss_description	Beware! This monster is a boss and will switch between phases that will change its behavior and trigger events.	Ce monstre est un boss et va passer par plusieur phases qui vont changer son comportement et déclencher des évènement, faites attention.
booster_amongus_magicbooster	Magic and Power	Magie et Pouvoir
card_amongus_created_skeleton_name	Animated skeleton	Squelette animé
card_amongus_created_skeleton_description	An obedient undead created by necromancy	Un mort-vivant esclave créé par nécromancie
card_amongus_pulsating_heart_name	Pounding cankerous heart	Coeur chancreux palpitant
card_amongus_pulsating_heart_description	One of the heart of those creatures, still intact and pounding. If examinated by a mage or wizard, it may reveal the source of the invasion 	Un des coeurs d'une de ces créatures, encore intacte et palpitant. Peut-être que si un de vos mage ou sorcier l'examinait vous pouriez trouver la source de l'invasion ?
card_amongus_rumor_thething_name	The Thing	La Chose
card_amongus_rumor_thething_description	A strange creature is infecting your villager, changing them into monster. There must be something to do about it... Perhaps if you kill more of those monsters, you'll learn more about the Thing	Une créature étrange a commencé à infécter vos villegois et à les transformer en monstres. Il ya sûrement quelque chose à faire... Peu-être qu'en en tuant plus vous en apprendrez plus sur cette créature
card_amongus_spell_basic_name	<i><b>Dosisol'Re</b></i>	<i><b>Dosisol'Re</b></i>
card_amongus_spell_basic_description	A basic spell that every magic user learn: not particularly useful but can (un)tidy your room.<i>Must have some use...</i>	Le sort de base qu'apprend tout magicien : n'est pas très utile mais peut (dé)ranger votre chambre.<i>Doit bien servir à quelque-chose...</i>
card_amongus_spell_bettercleanse_name	<i><b>Fami'Mi'la'Misol</b></i>	<i><b>Fami'Mi'la'Misol</b></i>
card_amongus_spell_bettercleanse_description	Remove all negative status effects afflicting the target and keep the positive ones	Supprime tous les états anormaux négatifs affligeant la cible mais préserve ceux qui sont positifs.
card_amongus_spell_cleanse_name	<i><b>Fami'Mi'la</b></i> 	<i><b>Fami'Mi'la</b></i> 
card_amongus_spell_cleanse_description	Remove ALL status effects on the target, positive AND negative.	Supprime tous les états anormaux affligeant la cible (négatifs ET positifs)
card_amongus_spell_create_food_name	<i><b>Dolafa'Re</b></i>	<i><b>Dolafa'Re</b></i>
card_amongus_spell_create_food_description	Produce a good quantity of food.<b>Double-click to cast.</b>	Produit une bonne quantité de nourriture.<b>Double-cliquez pour activer.</b>
card_amongus_spell_Feast_name	<i><b>Dosisolmi</b></i>	<i><b>Dosisolmi</b></i>
card_amongus_spell_Feast_description	Used to create a feast that give the "well-fed" status to all your villagers.<b>Double-click to cast.</b>	Utilisé pour créer un festin qui donne à tous vos villageois l'effet "repu".<b>Double-cliquez pour activer.</b>
card_amongus_spell_Giant_name	<i><b>Domifala</b></i>	<i><b>Domifala</b></i>
card_amongus_spell_Giant_description	The target villager will grow to a giant size which will give him a big advantage in a fight.	Fait grandir un villageois jusqu'à une taille de géant pendant 30 secondes, ce qui lui donne un net avantage en combat
card_amongus_spell_Heal_name	<i><b>Fa'Rerela</b></i>	<i><b>Fa'Rerela</b></i>
card_amongus_spell_Heal_description	Completly heals a villager... and that's not too bad!	Permet de complètement soigner un villageois... et c'est déjà bien.
card_amongus_spell_kill_name	<i><b>Sisol'Sifa</b></i>	<i><b>Sisol'Sifa</b></i>
card_amongus_spell_kill_description	Death curse, will kill or damage a creature.	Malédiction de mort, inflige des dégât ou tue une créature.
card_amongus_spell_reveal_name	<i><b>Misolmi'Sol</b></i>	<i><b>Misolmi'Sol</b></i>
card_amongus_spell_reveal_description	For one moon, reveal if the villager is a monster or not.	Pendant une lune, révèle si le villageois ciblé est un monstre déguisé
card_amongus_spell_reveal_all_name	<i><b>Milamisi</b></i>	<i><b>Milamisi</b></i>
card_amongus_spell_reveal_all_description	For one moon, reveal if all villagers are monsters or not.<b>Double-click to cast.</b>	Pendant une lune, révèle si tous les villageois sont des monstres déguisés.<b>Double-cliquez pour activer.</b>
card_amongus_spell_Skeleton_name	<i><b>Do'Resido</b></i>	<i><b>Do'Resido</b></i>
card_amongus_spell_Skeleton_description	Trasnform a corpse into an animated skeleton that obey orders and return to its original state at the end of the current moon	Transforme un cadavre en squelette animé qui obéit aux ordres et retourne à l'état de cadrave à la fin de la lune en cours.
card_amongus_spell_speed_name	<i><b>Fasi'Mire</b></i>	<i><b>Fasi'Mire</b></i>
card_amongus_spell_speed_description	Greatly increase harvest or building speed to such an extend that it is almost instantaneous.	Augmente drastiquement la vitesse de récolte ou de construction, au point de la rendre instantanée
card_amongus_spell_still_name	<i><b>Fado'Dofa</b></i>	<i><b>Fado'Dofa</b></i>
card_amongus_spell_still_description	Make an ennemy unable to move on the board for a short time	Rend un ennemi ou un animal immobile, incapable de bouger pendant un certain temps.
card_amongus_strange_traveler_name	Strange Traveler	Voyageur étrange
